区域,指标名称,年份,指标值
东营市,GDP_万元,2005,11661000
东营市,GDP_万元,2006,14503000
东营市,GDP_万元,2007,16648000
东营市,GDP_万元,2008,20526200
东营市,GDP_万元,2009,20589726.16
东营市,GDP_万元,2010,23599400
东营市,年末人口_万人,2000,172.14
东营市,年末人口_万人,2001,173.58
东营市,年末人口_万人,2002,175.4
东营市,年末人口_万人,2003,176.8
东营市,年末人口_万人,2004,178.8
东营市,年末人口_万人,2005,194.8
东营市,年末人口_万人,2006,181.8
东营市,年末人口_万人,2007,183.09
东营市,年末人口_万人,2008,184
东营市,年末人口_万人,2009,184.59
东营市,年末人口_万人,2010,184.9
中卫市,GDP_万元,2000,316421.4394
中卫市,GDP_万元,2001,344513.1192
中卫市,GDP_万元,2002,384432.8016
中卫市,GDP_万元,2003,440627.0189
中卫市,GDP_万元,2004,505000
中卫市,GDP_万元,2005,665000
中卫市,GDP_万元,2006,761000
中卫市,GDP_万元,2007,916389
中卫市,GDP_万元,2008,1191000
中卫市,GDP_万元,2009,1429800
中卫市,GDP_万元,2010,1731900
中卫市,年末人口_万人,2000,96.656132
中卫市,年末人口_万人,2001,98.116435
中卫市,年末人口_万人,2002,99.606313
中卫市,年末人口_万人,2003,101.125275
中卫市,年末人口_万人,2004,102.2
中卫市,年末人口_万人,2005,104.2
中卫市,年末人口_万人,2006,105.4
中卫市,年末人口_万人,2007,104.59
中卫市,年末人口_万人,2008,114.2
中卫市,年末人口_万人,2009,113.81
中卫市,年末人口_万人,2010,108.3
中山市,GDP_万元,2000,3128200
中山市,GDP_万元,2001,3625000
中山市,GDP_万元,2002,4157000
中山市,GDP_万元,2003,5014000
中山市,GDP_万元,2004,6101000
中山市,GDP_万元,2005,8802000
中山市,GDP_万元,2006,10360000
中山市,GDP_万元,2007,12380400
中山市,GDP_万元,2008,14085200
中山市,GDP_万元,2009,15664106.49
中山市,GDP_万元,2010,18506500
中山市,年末人口_万人,2000,133.75
中山市,年末人口_万人,2001,134.83
中山市,年末人口_万人,2002,136
中山市,年末人口_万人,2003,137.9
中山市,年末人口_万人,2004,139.4
中山市,年末人口_万人,2005,140.8
中山市,年末人口_万人,2006,142.3
中山市,年末人口_万人,2007,145.1454
中山市,年末人口_万人,2008,146.4
中山市,年末人口_万人,2009,147.86
中山市,年末人口_万人,2010,149.2
临夏回族自治州,GDP_万元,2000,268100
临夏回族自治州,GDP_万元,2001,303500
临夏回族自治州,GDP_万元,2002,338000
临夏回族自治州,GDP_万元,2003,371000
临夏回族自治州,GDP_万元,2004,425000
临夏回族自治州,GDP_万元,2005,562000
临夏回族自治州,GDP_万元,2006,625000
临夏回族自治州,GDP_万元,2007,729181
临夏回族自治州,GDP_万元,2008,785900
临夏回族自治州,GDP_万元,2009,931710
临夏回族自治州,GDP_万元,2010,1063800
临夏回族自治州,年末人口_万人,2000,187.85
临夏回族自治州,年末人口_万人,2001,189.28
临夏回族自治州,年末人口_万人,2002,190.8
临夏回族自治州,年末人口_万人,2003,192.1
临夏回族自治州,年末人口_万人,2004,193.7
临夏回族自治州,年末人口_万人,2005,193.9
临夏回族自治州,年末人口_万人,2006,194.9
临夏回族自治州,年末人口_万人,2007,197.57
临夏回族自治州,年末人口_万人,2008,203.1
临夏回族自治州,年末人口_万人,2009,206.55
临夏回族自治州,年末人口_万人,2010,210.3
临汾市,GDP_万元,2000,1703300
临汾市,GDP_万元,2001,1924400
临汾市,GDP_万元,2002,2239000
临汾市,GDP_万元,2003,2934000
临汾市,GDP_万元,2004,3759000
临汾市,GDP_万元,2005,5232000
临汾市,GDP_万元,2006,5887000
临汾市,GDP_万元,2007,6580900
临汾市,GDP_万元,2008,7546300
临汾市,GDP_万元,2009,7668659.007
临汾市,GDP_万元,2010,8901400
临汾市,年末人口_万人,2000,395.57
临汾市,年末人口_万人,2001,400.13
临汾市,年末人口_万人,2002,403.2
临汾市,年末人口_万人,2003,406.2
临汾市,年末人口_万人,2004,409.2
临汾市,年末人口_万人,2005,412.3
临汾市,年末人口_万人,2006,416.9
临汾市,年末人口_万人,2007,417.22
临汾市,年末人口_万人,2008,419.8
临汾市,年末人口_万人,2009,422.17
临汾市,年末人口_万人,2010,432.1
临沂市,GDP_万元,2000,5546000
临沂市,GDP_万元,2001,6231500
临沂市,GDP_万元,2002,7021000
临沂市,GDP_万元,2003,8346000
临沂市,GDP_万元,2004,10120000
临沂市,GDP_万元,2005,12118000
临沂市,GDP_万元,2006,14049000
临沂市,GDP_万元,2007,16604600
临沂市,GDP_万元,2008,19582100
临沂市,GDP_万元,2009,20691087.22
临沂市,GDP_万元,2010,23999900
临沂市,年末人口_万人,2000,1001.38
临沂市,年末人口_万人,2001,1005.25
临沂市,年末人口_万人,2002,1008.4
临沂市,年末人口_万人,2003,1011
临沂市,年末人口_万人,2004,1015
临沂市,年末人口_万人,2005,973.3
临沂市,年末人口_万人,2006,1022.7
临沂市,年末人口_万人,2007,1027.5
临沂市,年末人口_万人,2008,1034.5
临沂市,年末人口_万人,2009,1041.54
临沂市,年末人口_万人,2010,1072.6
临沧市,GDP_万元,2000,550000
临沧市,GDP_万元,2001,587500
临沧市,GDP_万元,2002,660000
临沧市,GDP_万元,2003,732000
临沧市,GDP_万元,2004,857000
临沧市,GDP_万元,2005,965000
临沧市,GDP_万元,2006,1142000
临沧市,GDP_万元,2007,1357830
临沧市,GDP_万元,2008,1568700
临沧市,GDP_万元,2009,1813300
临沧市,GDP_万元,2010,2169700
临沧市,年末人口_万人,2000,213.8
临沧市,年末人口_万人,2001,214.9
临沧市,年末人口_万人,2002,215.9
临沧市,年末人口_万人,2003,217
临沧市,年末人口_万人,2004,218.3
临沧市,年末人口_万人,2005,236.1
临沧市,年末人口_万人,2006,236.6
临沧市,年末人口_万人,2007,236.8
临沧市,年末人口_万人,2008,238.2
临沧市,年末人口_万人,2009,239.6
临沧市,年末人口_万人,2010,234.9
丹东市,GDP_万元,2000,1728900
丹东市,GDP_万元,2001,1865800
丹东市,GDP_万元,2002,2026000
丹东市,GDP_万元,2003,2329000
丹东市,GDP_万元,2004,2905000
丹东市,GDP_万元,2005,3263000
丹东市,GDP_万元,2006,3853000
丹东市,GDP_万元,2007,4640241
丹东市,GDP_万元,2008,5638600
丹东市,GDP_万元,2009,6075200
丹东市,GDP_万元,2010,7288900
丹东市,年末人口_万人,2000,240.96
丹东市,年末人口_万人,2001,241.01
丹东市,年末人口_万人,2002,241.3
丹东市,年末人口_万人,2003,241.2
丹东市,年末人口_万人,2004,241
丹东市,年末人口_万人,2005,242.4
丹东市,年末人口_万人,2006,242.5
丹东市,年末人口_万人,2007,242.8963
丹东市,年末人口_万人,2008,242.7
丹东市,年末人口_万人,2009,242.64
丹东市,年末人口_万人,2010,241.4
丽水市,GDP_万元,2000,1367600
丽水市,GDP_万元,2001,1589700
丽水市,GDP_万元,2002,1851000
丽水市,GDP_万元,2003,2203000
丽水市,GDP_万元,2004,2646000
丽水市,GDP_万元,2005,3060000
丽水市,GDP_万元,2006,3554000
丽水市,GDP_万元,2007,4338900
丽水市,GDP_万元,2008,5056800
丽水市,GDP_万元,2009,5465500
丽水市,GDP_万元,2010,6632900
丽水市,年末人口_万人,2000,248.58
丽水市,年末人口_万人,2001,248.73
丽水市,年末人口_万人,2002,249.3
丽水市,年末人口_万人,2003,249.4
丽水市,年末人口_万人,2004,250.7
丽水市,年末人口_万人,2005,251.4
丽水市,年末人口_万人,2006,252.5
丽水市,年末人口_万人,2007,253.99
丽水市,年末人口_万人,2008,255.4
丽水市,年末人口_万人,2009,257.39
丽水市,年末人口_万人,2010,259.7
丽江市,GDP_万元,2000,308100
丽江市,GDP_万元,2001,334000
丽江市,GDP_万元,2002,370000
丽江市,GDP_万元,2003,414000
丽江市,GDP_万元,2004,522000
丽江市,GDP_万元,2005,603000
丽江市,GDP_万元,2006,702000
丽江市,GDP_万元,2007,848176
丽江市,GDP_万元,2008,1011500
丽江市,GDP_万元,2009,1174400
丽江市,GDP_万元,2010,1436000
丽江市,年末人口_万人,2000,109.9
丽江市,年末人口_万人,2001,110.8
丽江市,年末人口_万人,2002,111.2
丽江市,年末人口_万人,2003,111.9
丽江市,年末人口_万人,2004,112.7
丽江市,年末人口_万人,2005,120.3
丽江市,年末人口_万人,2006,121.3
丽江市,年末人口_万人,2007,121.6
丽江市,年末人口_万人,2008,119.4
丽江市,年末人口_万人,2009,122.6
丽江市,年末人口_万人,2010,124.5
乌兰察布市,GDP_万元,2000,916900
乌兰察布市,GDP_万元,2001,742400
乌兰察布市,GDP_万元,2002,1178000
乌兰察布市,GDP_万元,2003,1553000
乌兰察布市,GDP_万元,2004,1832000
乌兰察布市,GDP_万元,2005,2302000
乌兰察布市,GDP_万元,2006,2851000
乌兰察布市,GDP_万元,2007,3440002.998
乌兰察布市,GDP_万元,2008,4346800
乌兰察布市,GDP_万元,2009,5000100
乌兰察布市,GDP_万元,2010,5676000
乌兰察布市,年末人口_万人,2000,232.63
乌兰察布市,年末人口_万人,2001,91.83
乌兰察布市,年末人口_万人,2002,270.6
乌兰察布市,年末人口_万人,2003,270.6
乌兰察布市,年末人口_万人,2004,219.3
乌兰察布市,年末人口_万人,2005,215.4
乌兰察布市,年末人口_万人,2006,214.1
乌兰察布市,年末人口_万人,2007,213.82
乌兰察布市,年末人口_万人,2008,213.2
乌兰察布市,年末人口_万人,2009,212.55
乌兰察布市,年末人口_万人,2010,214.1
乌海市,GDP_万元,2000,383600
乌海市,GDP_万元,2001,439200
乌海市,GDP_万元,2002,514000
乌海市,GDP_万元,2003,676000
乌海市,GDP_万元,2004,914000
乌海市,GDP_万元,2005,1255000
乌海市,GDP_万元,2006,1524000
乌海市,GDP_万元,2007,1900573.322
乌海市,GDP_万元,2008,2401000
乌海市,GDP_万元,2009,3112056
乌海市,GDP_万元,2010,3913600
乌海市,年末人口_万人,2000,43.49
乌海市,年末人口_万人,2001,40.59
乌海市,年末人口_万人,2002,41.2
乌海市,年末人口_万人,2003,41.6
乌海市,年末人口_万人,2004,45.9
乌海市,年末人口_万人,2005,46.5
乌海市,年末人口_万人,2006,47
乌海市,年末人口_万人,2007,47.7
乌海市,年末人口_万人,2008,48.3
乌海市,年末人口_万人,2009,48.76
乌海市,年末人口_万人,2010,53.5
乌鲁木齐市,GDP_万元,2000,2790500
乌鲁木齐市,GDP_万元,2001,3148600
乌鲁木齐市,GDP_万元,2002,3522000
乌鲁木齐市,GDP_万元,2003,4086000
乌鲁木齐市,GDP_万元,2004,4843000
乌鲁木齐市,GDP_万元,2005,5625000
乌鲁木齐市,GDP_万元,2006,6543000
乌鲁木齐市,GDP_万元,2007,8202800
乌鲁木齐市,GDP_万元,2008,10203500
乌鲁木齐市,GDP_万元,2009,10875000
乌鲁木齐市,GDP_万元,2010,13385200
乌鲁木齐市,年末人口_万人,2000,164.38
乌鲁木齐市,年末人口_万人,2001,169.03
乌鲁木齐市,年末人口_万人,2002,175.7
乌鲁木齐市,年末人口_万人,2003,181.5
乌鲁木齐市,年末人口_万人,2004,186
乌鲁木齐市,年末人口_万人,2005,194.2
乌鲁木齐市,年末人口_万人,2006,201.8
乌鲁木齐市,年末人口_万人,2007,231.3
乌鲁木齐市,年末人口_万人,2008,236.1
乌鲁木齐市,年末人口_万人,2009,241.19
乌鲁木齐市,年末人口_万人,2010,243
乐山市,GDP_万元,2000,1460200
乐山市,GDP_万元,2001,1610700
乐山市,GDP_万元,2002,1798000
乐山市,GDP_万元,2003,2156000
乐山市,GDP_万元,2004,2658000
乐山市,GDP_万元,2005,3067000
乐山市,GDP_万元,2006,3664000
乐山市,GDP_万元,2007,4529700
乐山市,GDP_万元,2008,5623900
乐山市,GDP_万元,2009,6190200
乐山市,GDP_万元,2010,7439200
乐山市,年末人口_万人,2000,345.9
乐山市,年末人口_万人,2001,346.5
乐山市,年末人口_万人,2002,346.9
乐山市,年末人口_万人,2003,347.6
乐山市,年末人口_万人,2004,347.7
乐山市,年末人口_万人,2005,347.9
乐山市,年末人口_万人,2006,350.1
乐山市,年末人口_万人,2007,352.5
乐山市,年末人口_万人,2008,353.5
乐山市,年末人口_万人,2009,353.2
乐山市,年末人口_万人,2010,353.3
九江市,GDP_万元,2000,2131200
九江市,GDP_万元,2001,2326200
九江市,GDP_万元,2002,2634000
九江市,GDP_万元,2003,3068000
九江市,GDP_万元,2004,3568000
九江市,GDP_万元,2005,4289000
九江市,GDP_万元,2006,5062000
九江市,GDP_万元,2007,5925614
九江市,GDP_万元,2008,7006000
九江市,GDP_万元,2009,8313636
九江市,GDP_万元,2010,10320600
九江市,年末人口_万人,2000,446.83
九江市,年末人口_万人,2001,452.79
九江市,年末人口_万人,2002,456.7
九江市,年末人口_万人,2003,460.1
九江市,年末人口_万人,2004,463.2
九江市,年末人口_万人,2005,466.1
九江市,年末人口_万人,2006,469.1
九江市,年末人口_万人,2007,472.1728
九江市,年末人口_万人,2008,475.6
九江市,年末人口_万人,2009,478.9502
九江市,年末人口_万人,2010,473.2
云浮市,GDP_万元,2000,1693700
云浮市,GDP_万元,2001,1801700
云浮市,GDP_万元,2002,1920000
云浮市,GDP_万元,2003,2147000
云浮市,GDP_万元,2004,2576000
云浮市,GDP_万元,2005,2137000
云浮市,GDP_万元,2006,2442000
云浮市,GDP_万元,2007,2710105
云浮市,GDP_万元,2008,3198600
云浮市,GDP_万元,2009,3445051.303
云浮市,GDP_万元,2010,4009700
云浮市,年末人口_万人,2000,257.75
云浮市,年末人口_万人,2001,258.84
云浮市,年末人口_万人,2002,260.1
云浮市,年末人口_万人,2003,261.3
云浮市,年末人口_万人,2004,262
云浮市,年末人口_万人,2005,263.4
云浮市,年末人口_万人,2006,266.8
云浮市,年末人口_万人,2007,268.62
云浮市,年末人口_万人,2008,272.7
云浮市,年末人口_万人,2009,275.8
云浮市,年末人口_万人,2010,282.8
亳州市,GDP_万元,2000,1601006
亳州市,GDP_万元,2001,1640200
亳州市,GDP_万元,2002,1725000
亳州市,GDP_万元,2003,1833000
亳州市,GDP_万元,2004,2246000
亳州市,GDP_万元,2005,2650000
亳州市,GDP_万元,2006,2987000
亳州市,GDP_万元,2007,3432700
亳州市,GDP_万元,2008,4042200
亳州市,GDP_万元,2009,4319100
亳州市,GDP_万元,2010,5127800
亳州市,年末人口_万人,2000,525.55
亳州市,年末人口_万人,2001,530
亳州市,年末人口_万人,2002,535
亳州市,年末人口_万人,2003,539.2
亳州市,年末人口_万人,2004,545.7
亳州市,年末人口_万人,2005,550.1
亳州市,年末人口_万人,2006,561.6
亳州市,年末人口_万人,2007,578.8897
亳州市,年末人口_万人,2008,588.8
亳州市,年末人口_万人,2009,596.93
亳州市,年末人口_万人,2010,600.8
伊春市,GDP_万元,2000,726200
伊春市,GDP_万元,2001,785600
伊春市,GDP_万元,2002,853000
伊春市,GDP_万元,2003,951000
伊春市,GDP_万元,2004,1092000
伊春市,GDP_万元,2005,1159000
伊春市,GDP_万元,2006,1303000
伊春市,GDP_万元,2007,1532188
伊春市,GDP_万元,2008,1790100
伊春市,GDP_万元,2009,1724616
伊春市,GDP_万元,2010,2024400
伊春市,年末人口_万人,2000,132.5
伊春市,年末人口_万人,2001,132.18
伊春市,年末人口_万人,2002,131.9
伊春市,年末人口_万人,2003,130.4
伊春市,年末人口_万人,2004,129.6
伊春市,年末人口_万人,2005,128.8
伊春市,年末人口_万人,2006,127.7
伊春市,年末人口_万人,2007,127.5976
伊春市,年末人口_万人,2008,127.6
伊春市,年末人口_万人,2009,127.3
伊春市,年末人口_万人,2010,127
伊犁哈萨克自治州,GDP_万元,2000,638300
伊犁哈萨克自治州,GDP_万元,2001,928500
伊犁哈萨克自治州,GDP_万元,2002,1013000
伊犁哈萨克自治州,GDP_万元,2003,1153000
伊犁哈萨克自治州,GDP_万元,2004,1368000
伊犁哈萨克自治州,GDP_万元,2005,1716204
伊犁哈萨克自治州,GDP_万元,2006,1962000
伊犁哈萨克自治州,GDP_万元,2007,2364705
伊犁哈萨克自治州,GDP_万元,2008,2912300
伊犁哈萨克自治州,GDP_万元,2009,3336600
伊犁哈萨克自治州,GDP_万元,2010,4082600
伊犁哈萨克自治州,年末人口_万人,2000,211.54
伊犁哈萨克自治州,年末人口_万人,2001,243.17
伊犁哈萨克自治州,年末人口_万人,2002,247.8
伊犁哈萨克自治州,年末人口_万人,2003,251.7
伊犁哈萨克自治州,年末人口_万人,2004,255.7
伊犁哈萨克自治州,年末人口_万人,2005,257.072452
伊犁哈萨克自治州,年末人口_万人,2006,263.1
伊犁哈萨克自治州,年末人口_万人,2007,270.23
伊犁哈萨克自治州,年末人口_万人,2008,274.8
伊犁哈萨克自治州,年末人口_万人,2009,276.3
伊犁哈萨克自治州,年末人口_万人,2010,281.5
佛山市,GDP_万元,2000,9572000
佛山市,GDP_万元,2001,10683600
佛山市,GDP_万元,2002,11759000
佛山市,GDP_万元,2003,13816000
佛山市,GDP_万元,2004,16565000
佛山市,GDP_万元,2005,23832000
佛山市,GDP_万元,2006,29282000
佛山市,GDP_万元,2007,36051100
佛山市,GDP_万元,2008,43333000
佛山市,GDP_万元,2009,48208972
佛山市,GDP_万元,2010,56515200
佛山市,年末人口_万人,2000,332.47
佛山市,年末人口_万人,2001,335.85
佛山市,年末人口_万人,2002,339
佛山市,年末人口_万人,2003,344.2
佛山市,年末人口_万人,2004,350.9
佛山市,年末人口_万人,2005,354.5
佛山市,年末人口_万人,2006,358.1
佛山市,年末人口_万人,2007,361.08
佛山市,年末人口_万人,2008,364.3
佛山市,年末人口_万人,2009,367.63
佛山市,年末人口_万人,2010,370.9
佳木斯市,GDP_万元,2000,1464000
佳木斯市,GDP_万元,2001,1401700
佳木斯市,GDP_万元,2002,1847000
佳木斯市,GDP_万元,2003,2009000
佳木斯市,GDP_万元,2004,2363000
佳木斯市,GDP_万元,2005,2415000
佳木斯市,GDP_万元,2006,2785000
佳木斯市,GDP_万元,2007,3368924
佳木斯市,GDP_万元,2008,3985000
佳木斯市,GDP_万元,2009,4326602.728
佳木斯市,GDP_万元,2010,5124600
佳木斯市,年末人口_万人,2000,239.34
佳木斯市,年末人口_万人,2001,240.68
佳木斯市,年末人口_万人,2002,243.6
佳木斯市,年末人口_万人,2003,244.7
佳木斯市,年末人口_万人,2004,247.3
佳木斯市,年末人口_万人,2005,245
佳木斯市,年末人口_万人,2006,248.2
佳木斯市,年末人口_万人,2007,250.5325
佳木斯市,年末人口_万人,2008,251.6
佳木斯市,年末人口_万人,2009,253
佳木斯市,年末人口_万人,2010,252.7
保定市,GDP_万元,2000,7022200
保定市,GDP_万元,2001,7473100
保定市,GDP_万元,2002,8235000
保定市,GDP_万元,2003,9248000
保定市,GDP_万元,2004,11109000
保定市,GDP_万元,2005,10721000
保定市,GDP_万元,2006,12000000
保定市,GDP_万元,2007,13751799
保定市,GDP_万元,2008,15808900
保定市,GDP_万元,2009,17300023
保定市,GDP_万元,2010,20503000
保定市,年末人口_万人,2000,1055.17
保定市,年末人口_万人,2001,1062.43
保定市,年末人口_万人,2002,1070.1
保定市,年末人口_万人,2003,1077
保定市,年末人口_万人,2004,1088.3
保定市,年末人口_万人,2005,1073.5
保定市,年末人口_万人,2006,1079.6
保定市,年末人口_万人,2007,1123.4317
保定市,年末人口_万人,2008,1141.7
保定市,年末人口_万人,2009,1155.2813
保定市,年末人口_万人,2010,1161
保山市,GDP_万元,2000,704300
保山市,GDP_万元,2001,758600
保山市,GDP_万元,2002,811000
保山市,GDP_万元,2003,873000
保山市,GDP_万元,2004,981000
保山市,GDP_万元,2005,1174000
保山市,GDP_万元,2006,1355000
保山市,GDP_万元,2007,1623779
保山市,GDP_万元,2008,1940500
保山市,GDP_万元,2009,2216500
保山市,GDP_万元,2010,2609000
保山市,年末人口_万人,2000,234.5
保山市,年末人口_万人,2001,235.9
保山市,年末人口_万人,2002,237.5
保山市,年末人口_万人,2003,239.3
保山市,年末人口_万人,2004,241.1
保山市,年末人口_万人,2005,244.2
保山市,年末人口_万人,2006,244.8
保山市,年末人口_万人,2007,245.02
保山市,年末人口_万人,2008,248.2
保山市,年末人口_万人,2009,247.7
保山市,年末人口_万人,2010,250.6
信阳市,GDP_万元,2000,2610500
信阳市,GDP_万元,2001,2636800
信阳市,GDP_万元,2002,3119000
信阳市,GDP_万元,2003,3471000
信阳市,GDP_万元,2004,4343000
信阳市,GDP_万元,2005,5086000
信阳市,GDP_万元,2006,5884000
信阳市,GDP_万元,2007,6990260
信阳市,GDP_万元,2008,8667900
信阳市,GDP_万元,2009,9289974
信阳市,GDP_万元,2010,10918300
信阳市,年末人口_万人,2000,766
信阳市,年末人口_万人,2001,771
信阳市,年末人口_万人,2002,775.8
信阳市,年末人口_万人,2003,780
信阳市,年末人口_万人,2004,783.7
信阳市,年末人口_万人,2005,787.6
信阳市,年末人口_万人,2006,793.3
信阳市,年末人口_万人,2007,798.57
信阳市,年末人口_万人,2008,802.8
信阳市,年末人口_万人,2009,806.82
信阳市,年末人口_万人,2010,846
克孜勒苏柯尔克孜自治州,GDP_万元,2000,77200
克孜勒苏柯尔克孜自治州,GDP_万元,2001,100800
克孜勒苏柯尔克孜自治州,GDP_万元,2002,110000
克孜勒苏柯尔克孜自治州,GDP_万元,2003,125000
克孜勒苏柯尔克孜自治州,GDP_万元,2004,143000
克孜勒苏柯尔克孜自治州,GDP_万元,2005,175000
克孜勒苏柯尔克孜自治州,GDP_万元,2006,197000
克孜勒苏柯尔克孜自治州,GDP_万元,2007,237132
克孜勒苏柯尔克孜自治州,GDP_万元,2008,643900
克孜勒苏柯尔克孜自治州,GDP_万元,2009,324600
克孜勒苏柯尔克孜自治州,GDP_万元,2010,388800
