buyer_id,buyer_time,buyer_level,buyer_addr,buyer_device,comment
老***生,2015-08-07 19:57 购买,钻石会员,山东,来自京东Android客户端,印刷排版非常好，字体比较大，内容还没有仔细看，是正版，相信京东。
j***1,2015-06-18 23:45 购买,钻石会员,河南,,这个版本很不错，集众家之长，适合入门读者
韩俊厂,2015-07-13 21:42 购买,银牌会员,北京,来自京东iPhone客户端,不错不错不错不错不错不错
moskvich,2015-07-24 11:00 购买,金牌会员,陕西,,"红楼梦（套装上下册）
人文，收藏的"
s***0,2015-07-05 17:40 购买,铜牌会员,福建,来自京东iPhone客户端,正版书籍，送货速度快！
S***u,2015-07-11 18:00 购买,银牌会员,上海,来自京东Android客户端,好的，物流再快点就更好了
吴***源,2015-08-08 09:46 购买,银牌会员,四川,来自京东Android客户端,很好，此书此版本最为经典，值得一读。
闲***斋,2015-07-12 13:51 购买,金牌会员,江苏,,书实在是很厚，作为作业阅读的不推荐这套
为***脉,2015-07-29 19:29 购买,金牌会员,重庆,,"《红楼梦》，中国古典四大名著之首，清代作家曹雪芹创作的章回体长篇小说[1] 。早期仅有前八十回抄本流传，八十回后部分未完成且原稿佚失。原名《脂砚斋重评石头记》。程伟元邀请高鹗协同整理出版百二十回全本[2] ，定名《红楼梦》。亦有版本作《金玉缘》。
《红楼梦》是一部具有世界影响力的人情小说作品，举世公认的中国古典小说巅峰之作，中国封建社会的百科全书，传统文化的集大成者。小说以贾、史、王、薛四大家族的兴衰为背景，以贾府的家庭琐事、闺阁闲情为中心，以贾宝玉、林黛玉、薛宝钗的爱情婚姻故事为主线，描写了以贾宝玉和金陵十二钗为中心的正邪两赋有情人的人性美和悲剧美，歌颂追求光明的叛逆人物，通过叛逆者的悲剧命运预见封建社会必然走向灭亡，揭示出封建末世的危机。
《红楼梦》的作者具有初步的民主主义思想，他对现实社会包括宫廷及官场的黑暗、封建贵族阶级及其家庭的腐朽，封建的科举制度、婚姻制度、奴婢制度、等级制度，以及与此相适应的社会统治思想即孔孟之道和程朱理学、社会道德观念等，都进行了深刻的批判，并提出了朦胧的带有初步民主主义性质的理想和主张。这些理想和主张正是当时正在滋长的资本主义经济萌芽因素的曲折反映。[3]
《红楼梦》以“大旨谈情，实录其事”自勉，只按自己的事体情理，按迹循踪，摆脱旧套，新鲜别致[1] ，取得了非凡的艺术成就。尤其“真事隐去，假语存焉”的特殊笔法更是激起了后世读者强烈的好奇心和窥探欲，各种猜测附会之说愈出愈奇。"
X***g,2015-08-06 22:22 购买,银牌会员,上海,来自京东Android客户端,内容就不评价了，地球人都知道好看。封面设计古色古香，我很喜欢
古***子,2015-07-04 12:13 购买,银牌会员,天津,来自京东Android客户端,很不错，内容很全面，值得购买！
1***7,2015-05-03 23:24 购买,银牌会员,福建,来自京东Android客户端,封面超赞！质量超赞！收藏
j***c,2015-08-06 14:32 购买,铜牌会员,广东,来自京东Android客户端,书很新，这个价钱挺值的，快递很快，服务态度也不错，挺满意的一次购物
j***a,2015-08-07 12:47 购买,铜牌会员,浙江,来自京东Android客户端,这个书还不错，留着慢慢读
c***3,2015-08-07 22:55 购买,金牌会员,广东,来自京东Android客户端,还可以，只是有一点脏…
l***i,2015-08-06 21:56 购买,金牌会员,北京,来自京东iPhone客户端,如果不能保证次日送货最好就不要承诺。
c***a,2015-08-06 13:43 购买,金牌会员,天津,来自京东Android客户端,洛阳亲友如相问 就说我在等代金券
陈***3,2015-04-28 11:29 购买,钻石会员,福建,,东西很好，还会再来的，谢谢
t***敌,2015-04-26 22:00 购买,银牌会员,广东,,很好很给力的产品品啊，值得购买啊
m***6,2015-07-19 20:58 购买,银牌会员,江苏,来自京东iPhone客户端,文言文，但是难解关键词有解释
w***7,2015-06-18 12:43 购买,银牌会员,湖北,来自京东Android客户端,正品，，，，，，，，，。
E***4,2015-08-03 14:04 购买,金牌会员,广西,来自京东iPhone客户端,一直在京东买这个，挺好的了
深***蓝,2015-04-24 08:58 购买,钻石会员,广东,,好书，一直不敢看，现在要看了啦
游***包,2015-07-15 14:51 购买,银牌会员,陕西,来自京东Android客户端,是正品文字清晰，会继续关注。
l***5,2015-08-02 18:16 购买,金牌会员,上海,来自京东Android客户端,帮朋友买的，朋友很满意！
p***n,2015-05-05 20:25 购买,钻石会员,广东,,帮人买的，自己硬着看了几章。
盗***可,2015-08-04 17:30 购买,铜牌会员,内蒙古,来自京东iPhone客户端,物有所值，棒棒的，期待的
j***d,2015-08-02 23:02 购买,金牌会员,北京,来自京东iPhone客户端,很好，很方便，给孩子买的开学礼物。
d***0,2015-08-05 17:40 购买,铜牌会员,辽宁,来自京东Android客户端,不错嗯嗯嗯嗯嗯嗯嗯嗯嗯
s***8,2015-08-05 19:54 购买,企业会员,河北,,去过一种更有趣的生活去过一种更有趣的生活
倾***9,2015-07-08 09:14 购买,金牌会员,江苏,,学校要求买的书，质量不错。。。。
s***n,2015-08-05 15:51 购买,金牌会员,江苏,来自京东iPhone客户端,很好，发货速度快，京东一直信赖！
幸***1,2015-08-05 01:46 购买,银牌会员,吉林,来自京东Android客户端,书挺满意，觉得要静下心来结合蒋勋老师的讲解读读，经典需要多读，永远不过时
富***儿,2015-07-08 21:29 购买,钻石会员,浙江,来自京东Android客户端,正版图书，国韵古香。
c***2,2015-07-19 17:46 购买,金牌会员,广东,来自京东Android客户端,厚厚的一大本！！！！！！！！！！！！
j***q,2015-02-09 21:54 购买,铜牌会员,山东,,挺好，纸的质量还有价格绝对给力，买一本没事看看挺好
jd_189127fqy,2015-08-04 21:16 购买,银牌会员,江苏,来自京东iPhone客户端,物流够快，我比较满意，点赞
j***f,2015-07-24 20:06 购买,钻石会员,湖南,,绝对好！！！！！！！！！！！
丹***周,2015-03-06 21:07 购买,银牌会员,四川,来自京东Android客户端,经济实惠，就是太厚了点
文***漩,2015-08-05 22:51 购买,金牌会员,浙江,来自京东Android客户端,挺好，高中生买的，送人的
z***j,2015-08-03 19:49 购买,钻石会员,江苏,来自京东Android客户端,这是经典好书啊，值得多读几遍。
j***y,2015-06-17 06:51 购买,铜牌会员,广东,来自京东Android客户端,很好啊，好看好看，女生一定要看哦
金***王,2015-07-11 17:05 购买,钻石会员,上海,,大品牌，价格便宜，好用
宏***造,2015-07-16 16:12 购买,钻石会员,河北,,京东不错的！！！！！！
声***机,2015-02-25 20:34 购买,钻石会员,北京,,非常好！！！！！！！！！！！！1
成***住,2015-06-29 21:00 购买,钻石会员,天津,,东西很好！很喜欢！！！！！！！
心***水,2015-08-03 22:54 购买,金牌会员,广东,来自京东Android客户端,很好！我很喜欢！！赞！！！！
j***5,2015-06-03 21:09 购买,钻石会员,河北,,很好，儿子喜欢，按照老师的要求买的
伊***児,2015-07-27 10:51 购买,钻石会员,四川,,帮朋友买的，应该不错的
叶***1,2015-07-25 12:52 购买,金牌会员,广东,来自京东Android客户端,在网上买书比在书店买实在划算太多了！！！
一***情,2015-07-16 20:40 购买,银牌会员,山西,来自京东Android客户端,应该买白话版，有点看的吃力。
j***5,2015-07-08 21:50 购买,金牌会员,四川,来自京东Android客户端,不错，按照学校要求买的。
j***5,2015-07-08 21:50 购买,金牌会员,四川,来自京东Android客户端,不错，按照学校要求买的。
j***0,2015-03-22 12:46 购买,金牌会员,甘肃,,书挺好，正版书，看得非常美，价格合适
静***泊,2015-08-02 11:44 购买,银牌会员,陕西,,装订很不错，快递也很好，总的来说很满意啦
梦***9,2015-07-31 20:24 购买,银牌会员,江苏,来自京东Android客户端,挺好的，简装版有详细注解。正版
j***5,2015-07-19 22:26 购买,银牌会员,山西,来自京东Android客户端,不错不错不错不错不错不错不错不错
嗯***哒,2015-07-31 19:38 购买,铜牌会员,四川,来自京东Android客户端,好评！赞\(≧▽≦)/\(≧▽≦)/
j***m,2015-07-02 22:43 购买,银牌会员,广东,来自京东Android客户端,还不错，內容可以，质量也不錯
阿***办,2015-04-23 16:51 购买,金牌会员,广东,,装订不错，封装的很好，干净，内容不评论了。
木***尔,2015-05-07 16:17 购买,钻石会员,江苏,,商品是否给力？快分享你的购买心得吧~京东商品，一如既往得好！
M***g,2015-07-23 09:24 购买,钻石会员,天津,,名品，应该多看看！！！！
j***9,2015-08-02 12:29 购买,铜牌会员,河南,来自京东Android客户端,很好，正版书值得收藏
风葬昔,2015-08-04 12:10 购买,银牌会员,浙江,,书收到。名著阅读，赞一个
j***1,2015-06-26 13:38 购买,金牌会员,湖南,,还没看，和解忧杂货铺、等待一起买的，其他两本都不错
j***8,2015-03-21 13:46 购买,银牌会员,甘肃,来自京东Android客户端,书质量很好，且注释非常满意
七***7,2015-07-04 01:05 购买,金牌会员,四川,来自京东Android客户端,现在看一半，感觉不错，纸质一般
山***雪,2015-07-21 15:18 购买,银牌会员,四川,,好书，正版、清晰，推荐！
S***m,2015-07-16 00:21 购买,银牌会员,北京,来自京东iPhone客户端,非常经典的版本，值得看，也有助于理解
K***5,2015-07-21 11:47 购买,钻石会员,广东,,还不错吧，质量挺好的
s***7,2015-04-20 21:50 购买,银牌会员,内蒙古,来自京东Android客户端,质量很好，印刷不错。很喜欢这个版本，因为在亲戚家看到，所以买来
s***s,2015-04-03 22:27 购买,金牌会员,广东,,书不错，但是发过来损坏了，退货了
行***中,2015-08-03 13:13 购买,金牌会员,河北,来自京东Android客户端,正版，很好，喜欢，作为收藏，自己看了，还能留着
j***人,2015-07-22 22:39 购买,金牌会员,北京,来自京东Android客户端,不错不错。。。。。。。。。。。。
j***繁,2015-08-03 21:56 购买,金牌会员,河北,来自京东iPhone客户端,这个版本还不错，干净简洁
野***雷,2015-07-16 13:53 购买,铜牌会员,广东,来自京东Android客户端,非常好，打算以后再买一套收藏，现这一套就平时随手翻看。
l***0,2015-05-16 00:05 购买,金牌会员,北京,来自京东Android客户端,还行…………………………
R***g,2015-06-08 08:31 购买,钻石会员,广东,,好书人人都喜欢看。百看不厌。
j***4,2015-05-16 22:08 购买,银牌会员,广东,来自京东Android客户端,无错版，很好的一本课外阅读书
z***0,2015-02-09 19:28 购买,银牌会员,湖北,,感觉不错，喜欢这个版本和出版社的。
j***1,2015-07-30 12:36 购买,金牌会员,河南,,如果回溯历史，则日本人吃鲸，并不像许多人想象中那般野蛮；一如日本料理的其他菜式一样，鲸鱼被烹调的细节，被抠得极精准。老式店铺里，会备花鲸的肉片，留皮，川烫到恰到好处吃；也有生鱼片吃法，先以柑橘汁配酱油、萝卜泥制酱，取鲸肉布满网状脂肪的部分，卷葱，蘸酱吃；有种吃法叫百寻，是用鲸小肠蒸过再烫熟，令其紧缩而后吃，取其脆。吃起来也有讲究：鲸味极浓，所以若非全鲸料理，否则鲸肉常在最后一道上来。这些讲究，当然不是一拍脑袋想来，而是经年累月，锤炼而成。
-***-,2015-08-01 21:48 购买,钻石会员,北京,,"曹雪芹（1715/1724～1763/1764/1765），清代小说家。名沾（读作zhān ），字梦阮，雪芹是其号，又号芹圃、芹溪。祖籍辽宁辽阳（一说辽宁铁岭，一说沈阳，一说河北丰润），先世原是汉族，后为满洲正白旗“包衣”人（“包衣”系满语音译，意思是家奴）。
高鹗，生卒年: 约1738—约1815，清代文学家。字兰墅，一字云士。因酷爱小说《红楼梦》，别号“红楼外史”。汉军镶黄旗内务府人。祖籍铁岭（今属辽宁），先世清初即寓居北京。少年时喜冶游。中年一度在外课馆。熟谙经史，工于八股文，诗词、小说、戏曲、绘画及金石之学亦颇通晓。诗宗盛唐，词风近于花间派，论文则“辞必端其本，修之乃立诚”，强调以曹雪芹（1715/1724～1763/1764/1765），清代小说家。名沾（读作zhān ），字梦阮，雪芹是其号，又号芹圃、芹溪。祖籍辽宁辽阳（一说辽宁铁岭，一说沈阳，一说河北丰润），先世原是汉族，后为满洲正白旗“包衣”人（“包衣”系满语音译，意思是家奴）。
高鹗，生卒年: 约1738—约1815，清代文学家。字兰墅，一字云士。因酷爱小说《红楼梦》，别号“红楼外史”。汉军镶黄旗内务府人。祖籍铁岭（今属辽宁），先世清初即寓居北京。少年时喜冶游。中年一度在外课馆。熟谙经史，工于八股文，诗词、小说、戏曲、绘画及金石之学亦颇通晓。诗宗盛唐，词风近于花间派，论文则“辞必端其本，修之乃立诚”，强调以意为主。他热衷仕进，累试不第，乾隆五十三年（1788），始为顺天乡试举人。六十年进士。历官内阁中书，内阁侍读。嘉庆六年（1801）为顺天乡试同考官。十四年，由侍读选江南道监曹雪芹（1715/1724～1763/1764/1765），清代小说家。名沾（读作zhān ），字梦阮，雪芹是其号，又号芹圃、芹溪。祖籍辽宁辽阳（一说辽宁铁岭，一说沈阳，一说河北丰润），先世原是汉族，后为满洲正白旗“包衣”人（“包衣”系满语音译，意思是家奴）。
高鹗，生卒年: 约1738—约1815，清代文学家。字兰墅，一字云士。因酷爱小说《红楼梦》，别号“红楼外史”。汉军镶黄旗内务府人。祖籍铁岭（今属辽宁），先世清初即寓居北京。少年时喜冶游。中年一度在外课馆。熟谙经史，工于八股文，诗词、小说、戏曲、绘画及金石之学亦颇通晓。诗宗盛唐，词风近于花间派，论文则“辞必端其本，修之乃立诚”，强调以意为主。他热衷仕进，累试不第，乾隆五十三年（1788），始为顺天乡试举人。六十年进士。历官内阁中书，内阁侍读。嘉庆六年（1801）为顺天乡试同考官。十四年，由侍读选江南道监曹雪芹（1715/1724～1763/1764/1765），清代小说家。名沾（读作zhān ），字梦阮，雪芹是其号，又号芹圃、芹溪。祖籍辽宁辽阳（一说辽宁铁岭，一说沈阳，一说河北丰润），先世原是汉族，后为满洲正白旗“包衣”人（“包衣”系满语音译，意思是家奴）。
高鹗，生卒年: 约1738—约1815，清代文学家。字兰墅，一字云士。因酷爱小说《红楼梦》，别号“红楼外史”。汉军镶黄旗内务府人。祖籍铁岭（今属辽宁），先世清初即寓居北京。少年时喜冶游。中年一度在外课馆。熟谙经史，工于八股文，诗词、小说、戏曲、绘画及金石之学亦颇通晓。诗宗盛唐，词风近于花间派，论文则“辞必端其本，修之乃立诚”，强调以意为主。他热衷仕进，累试不第，乾隆五十三年（1788），始为顺天乡试举人。六十年进士。历官内阁中书，内阁侍读。嘉庆六年（1801）为顺天乡试同考官。十四年，由侍读选江南道监曹雪芹（1715/1724～1763/1764/1765），清代小说家。名沾（读作zhān ），字梦阮，雪芹是其号，又号芹圃、芹溪。祖籍辽宁辽阳（一说辽宁铁岭，一说沈阳，一说河北丰润），先世原是汉族，后为满洲正白旗“包衣”人（“包衣”系满语音译，意思是家奴）。
高鹗，生卒年: 约1738—约1815，清代文学家。字兰墅，一字云士。因酷爱小说《红楼梦》，别号“红楼外史”。汉军镶黄旗内务府人。祖籍铁岭（今属辽宁），先世清初即寓居北京。少年时喜冶游。中年一度在外课馆。熟谙经史，工于八股文，诗词、小说、戏曲、绘画及金石之学亦颇通晓。诗宗盛唐，词风近于花间派，论文则“辞必端其本，修之乃立诚”，强调以意为主。他热衷仕进，累试不第，乾隆五十三年（1788），始为顺天乡试举人。六十年进士。历官内阁中书，内阁侍读。嘉庆六年（1801）为顺天乡试同考官。十四年，由侍如林，却多未及问世而赍志以终。意为主。他热衷仕进，累试不第，乾隆五十三年（1788），始为顺天乡试举人。六十年进士。历官内阁中书，内阁侍读。嘉庆六年（1801）为顺天乡试同考官。十四年，由侍读选江南道监察御史。十八年，升刑科给事中。在任以“操守谨、政事勤、才具长”见称。晚年家贫官冷，两袖清风。所以虽著作如林，却多未及问世而赍志以终。"
北***风,2015-07-27 12:21 购买,银牌会员,辽宁,,孩子喜欢，假期阅读。
j***m,2015-07-18 10:52 购买,金牌会员,江西,来自京东Android客户端,价廉物美，非常满意！
j***9,2015-07-08 20:27 购买,钻石会员,四川,,高二语文必读，字有点小
清***香,2015-07-14 19:54 购买,钻石会员,北京,来自京东Android客户端,正版图书，京东服务态度好，值得支持
d***t,2015-07-09 22:10 购买,钻石会员,山东,来自京东Android客户端,书很简洁，一本太厚，不好拿啊
j***c,2015-08-02 10:24 购买,银牌会员,河北,来自京东iPhone客户端,就是没事看看，四大名著
g***t,2015-03-28 21:28 购买,银牌会员,北京,,还行 ，不错。。。。。。。。。。。。
t***0,2015-07-16 17:30 购买,钻石会员,湖北,,额额突然特瑞特哦特特特特鄂尔泰
j***a,2015-02-08 22:09 购买,金牌会员,黑龙江,来自京东iPhone客户端,产品质量好，京东买着放心。
w***7,2015-06-18 20:39 购买,钻石会员,四川,,喜欢，属很好，印刷清晰
s***8,2015-06-19 22:06 购买,金牌会员,吉林,,原版 字很大 纸张材质很好
黄***峡,2015-07-16 09:26 购买,银牌会员,山东,来自京东Android客户端,宝贝很好，满意的一次购物，，，，
j***7,2015-07-11 08:41 购买,银牌会员,江苏,来自京东iPhone客户端,很好 不用跑实体店
9***j,2015-07-20 21:54 购买,银牌会员,北京,来自京东Android客户端,djfhdbdb还是觉得经常
我爱成天乐,2015-07-30 13:57 购买,铜牌会员,江苏,,书收到了，包装仔细，是正版，还会来
l***i,2015-07-15 10:46 购买,银牌会员,北京,,很好，确实是正版书，印刷也不错
y***o,2015-08-01 09:44 购买,铜牌会员,江苏,,送给朋友的，朋友说很不多，很喜欢
屋***子,2015-07-24 09:08 购买,金牌会员,上海,来自京东Android客户端,帮老婆买的，很喜欢。1。
-***後,2015-07-24 22:32 购买,钻石会员,山东,来自京东Android客户端,不错的书，值得一看，不错
埃***柜,2015-04-02 21:40 购买,钻石会员,江苏,,这个版本的四大名著还不错哦
不***心,2015-06-07 06:58 购买,铜牌会员,广东,,古典就是古典，没法评论。
