buyer_id,buyer_time,buyer_level,buyer_addr,buyer_device,comment
l***3,2015-08-08 09:59 购买,银牌会员,湖北,来自京东iPhone客户端,首先物流非常快，早上10:00下的单，下午不到4点收到货。快递小哥顶着酷热送到家门口，赞一个；其次，货是真不错，苹果产品用很多了，一试即知正品；价格比官网便宜。不错，放心！
m***8,2015-05-15 13:34 购买,钻石会员,北京,来自京东iPhone客户端,没得说，很好用，苹果得质量过关的。
d***5,2015-08-05 10:27 购买,钻石会员,黑龙江,,好好好好好好好好好好好好好好好好
a***0,2015-07-27 14:30 购买,企业会员,北京,来自京东Android客户端,送货快，服务好，正品，开票方便，顶一个！
无***行,2015-08-03 20:01 购买,钻石会员,天津,,内存大， 屏幕大，用起来方便，只是外观不是很美观
l***8,2015-03-18 20:21 购买,钻石会员,北京,,物流很快，还行，挺喜欢
任***6,2015-08-03 11:36 购买,金牌会员,河南,,什么都好，就是有点贵
鱼***膀,2015-08-03 12:03 购买,金牌会员,江苏,来自京东iPhone客户端,速度很快，服务也很好！
君***-,2015-03-27 19:33 购买,金牌会员,广东,来自京东iPhone客户端,为什么老弹出说评价不规范？！！
h***a,2015-08-04 07:55 购买,金牌会员,北京,,第二次购买，值的拥有
m***1,2015-07-22 17:28 购买,钻石会员,北京,,真心喜欢这个机子，可惜是帮同事买的，太贵了，赶上笔记本了。
l***5,2015-08-03 11:20 购买,钻石会员,天津,,屏幕大小合适么？系统用的习惯么？配件质量如何？快写下你的评价，分享给大家吧！
x***4,2015-06-22 17:30 购买,钻石会员,北京,,价格好，送货快，非常不错！！！
王***i,2015-06-29 10:20 购买,金牌会员,北京,来自京东iPhone客户端,性能不错，刚用一个月，挺好的，就是有点贵?
V***猫,2015-03-29 13:40 购买,钻石会员,上海,,Apple iPhone 6 Plus (A1524) 128GB 银色 移动联通电信4G手机
通***河,2015-07-31 10:57 购买,钻石会员,北京,,屏幕大，后盖也很漂亮。
忠***7,2015-07-22 20:41 购买,钻石会员,湖北,,挺好的，买了很多个了
x***g,2015-07-22 20:43 购买,钻石会员,北京,,苹果机好机器，就是价格偏高。
c***y,2015-03-05 12:36 购买,钻石会员,北京,来自京东iPhone客户端,快递迅速，是正品行货。
D***2,2015-04-17 10:51 购买,钻石会员,吉林,来自京东iPhone客户端,速度很快，东西很好，赞！
j***d,2015-07-13 07:28 购买,金牌会员,山西,来自京东iPhone客户端,好好好用这个物流也快
修***s,2015-02-14 14:28 购买,钻石会员,四川,来自京东Android客户端,"买的时候比苹果店便宜,正品多了个选择"
木***狗,2015-07-26 18:47 购买,银牌会员,陕西,来自京东Android客户端,速度快，服务好，信赖！
上***力,2015-06-22 19:07 购买,钻石会员,上海,来自京东iPhone客户端,京东电器一直购买值得拥有
j***9,2015-07-30 16:23 购买,钻石会员,四川,来自京东iPhone客户端,包装很好，速度很快，迫不及待的想要使用了
j***6,2015-04-23 13:35 购买,钻石会员,北京,来自京东iPhone客户端,手机肯定么有任何问题，非常好
l***5,2015-07-17 16:02 购买,钻石会员,天津,,屏幕大小合适么？系统用的习惯么？质量不错，价格也划算，送货及时配件质量如何？快写下你的评价，分享给大家吧！
虻***山,2015-05-23 09:55 购买,钻石会员,北京,来自京东iPhone客户端,不错不错不错不错不错不错不错不错
w***x,2015-07-18 09:20 购买,钻石会员,上海,,很好，很给力！很好，很给力！很好，很给力！
jd_68aaaebd45f3f,2015-06-05 23:38 购买,钻石会员,河北,来自京东iPad客户端,很快很快，下次再来
酸***涩,2015-07-25 09:29 购买,钻石会员,辽宁,来自京东iPhone客户端,颜色很好，手感不错。
二***丸,2015-04-22 10:01 购买,钻石会员,河北,,真心不错而且是正品可以购买
c***a,2015-06-03 22:19 购买,钻石会员,上海,,手机是正品，比苹果专卖还便宜，送货又快。
子***e,2015-07-23 20:10 购买,钻石会员,北京,来自京东Android客户端,非常喜欢，性能好，支持京东
无***殇,2015-06-17 23:40 购买,钻石会员,辽宁,来自京东Android客户端,分期买的，没有利息。超级划算！
j***4,2015-03-30 23:01 购买,钻石会员,广东,来自京东iPhone客户端,真赞！！！！！！！！！！！
娜***儿,2015-04-23 16:00 购买,钻石会员,广东,来自京东iPhone客户端,非常好，速度快，服务好
y***8,2015-02-03 14:22 购买,钻石会员,天津,来自京东Android客户端,正品。。。。。。。。。。。
y***9,2015-06-13 10:11 购买,金牌会员,山西,来自京东Android客户端,京东商城服务就是好，手机很好，绝对全新正品，128g内存下载软件可以自信满满的，全五分
j***p,2015-07-22 23:13 购买,钻石会员,山西,,我基本都是在京东买，速度快，各方面都有保障。
s***7,2015-07-21 12:56 购买,钻石会员,北京,来自京东iPhone客户端,很漂亮，屏幕很大，清晰，赞………
乐***笑,2015-01-27 22:54 购买,钻石会员,北京,,苹果公司是美国的一家高科技公司。
w***0,2015-07-11 11:20 购买,钻石会员,湖北,来自京东iPhone客户端,好评不错 非常棒 大赞 啦啦啦
y***3,2015-02-28 09:48 购买,金牌会员,浙江,,"很好,质量好,速度快,超喜欢的!"
验***嘛,2015-07-07 00:40 购买,钻石会员,北京,,送人的……能说啥呢！反正就是IPHONE6 PLUS，大家都用这样的，差不多吧！
h***7,2015-07-19 07:36 购买,金牌会员,浙江,来自京东iPhone客户端,手机很好，运行不错，送货很快。
q***0,2015-07-16 17:20 购买,银牌会员,四川,,"好朋友
确实不错啊 质量又好"
五***字,2015-03-19 21:36 购买,钻石会员,四川,,正品，价格公正，关键是能开发票
9***c,2015-06-30 14:28 购买,金牌会员,北京,来自京东iPhone客户端,只能说醉了，盒子都是烂得，都不知道从哪里捞出来的。
中***子,2015-07-07 22:04 购买,金牌会员,山东,来自京东iPhone客户端,我真的非常喜欢，谢谢。
c***7,2015-06-14 11:27 购买,钻石会员,北京,来自京东Android客户端,好好好好好。。。。。
d***2,2015-07-16 10:00 购买,金牌会员,北京,来自京东iPhone客户端,很神速，上午10点左右付款的，傍晚6点多就到了！彪悍的速度！银色版也很好看呐！喜欢！
jd_hqs90,2015-07-13 12:18 购买,金牌会员,新疆,,苹果6plus真是好东西，运行流畅，不过真心很贵，真不愧是肾6
z***4,2015-07-14 18:04 购买,金牌会员,安徽,来自京东iPhone客户端,挺不错的的，还在试用中。128G用不完
x***0,2015-07-15 14:09 购买,钻石会员,北京,来自京东iPhone客户端,京东购物方便快捷n?n?n?n?b
j***n,2015-07-11 16:18 购买,钻石会员,山东,来自京东Android客户端,手机一般，不值这个价格，不过京东的服务超级赞，喜欢
4***6,2015-06-18 09:16 购买,钻石会员,广东,来自京东iPhone客户端,质量不错，手感也可以，给一个赞
Z***n,2015-07-10 09:45 购买,钻石会员,广东,,不错，很好用！非常满意！
j***4,2015-06-18 23:45 购买,金牌会员,山东,,一分价钱一分货 很好
l***8,2015-06-26 21:21 购买,钻石会员,上海,,"外观漂亮,分辨率高,音质好."
马***9,2015-06-18 21:04 购买,钻石会员,山东,来自京东Android客户端,好愉快的一次购物，京东购物神速晚上下单，第二天上午就到了，比超市购买即方便又便宜，质量还有保证，产品包装也很完美，还会继续支持的，加油店家！
h***1,2015-03-17 20:47 购买,钻石会员,江西,,用着挺好，买着放心，赞一个！
j***k,2015-04-15 20:34 购买,金牌会员,湖北,来自京东iPhone客户端,不想多说什么，拿回来不到三小时一个劲红蓝屏，找客服说要7到14天，还没有备用的手机，手机卡都被我剪了，最后直接找的苹果售后，5天就拿回来了，售后换回来的机器没有任何问题。以后还是果断官网买
x***4,2015-02-10 15:33 购买,钻石会员,北京,来自京东Android客户端,苹果手机外壳很漂亮。
我***穷,2015-07-02 10:01 购买,钻石会员,辽宁,来自京东Android客户端,苹果（Apple）iPhone 6 Plus (A1524) 128GB 银色 移动联通电信4G手机。
海***恋,2015-04-12 00:11 购买,钻石会员,陕西,来自京东Android客户端,买了不到两个月，更新了一下系统直接死机了，拿去售后说要返场换主板，两个月！这么贵的东西，而且完全不是我认为损坏，要求换新的，客服说只能修！！我也是醉了！我也是京东老客户了，一直信任京东产品质量，闹这么一出真让人心寒！这机子简直是豆腐做的，绝对不是正品！大大的差评
f***3,2015-07-05 16:16 购买,金牌会员,浙江,来自京东iPhone客户端,手机很好用暂时没发现缺点！买了直接用上了！京东速度也快！刚好赶上出差！闲暇时间刚好把玩一下比4S好用！暂时没照片等出差回来晒照片！
h***a,2015-01-26 21:10 购买,钻石会员,广东,来自京东Android客户端,京东上的东西还是不错的，起码有保障！
诺曼兰德,2015-04-13 08:14 购买,钻石会员,上海,,"卡短信，升级到8.4还是卡。
另外短信wechat经常没有提醒。
短信都不能正常使用的手机是手机嘛？"
可***墨,2015-05-04 12:53 购买,钻石会员,北京,,送货快。服务也不错。赶上活动。价格还可以。
S***7,2015-02-23 18:21 购买,金牌会员,江苏,来自京东Android客户端,给儿子买的 很大气 孩子喜欢
曉***戀,2015-02-13 21:48 购买,金牌会员,广东,来自京东iPhone客户端,手机挺好，是正品，快递第二天就到了，好评！！
j***p,2015-07-05 13:07 购买,金牌会员,江苏,来自京东Android客户端,手机很好，自己用的很不错，真心开心
石***0,2015-07-06 03:32 购买,钻石会员,北京,来自京东Android客户端,就是好看看起来就是气派
l***2,2015-06-26 23:53 购买,钻石会员,江苏,,不错，很好的机器，值得推荐购买！
m***h,2015-07-01 14:29 购买,企业会员,上海,,公司购买，经济实用，不错
c***f,2015-06-27 12:46 购买,金牌会员,北京,来自京东iPhone客户端,别人买的，没有看，应该是正品
a***4,2015-07-03 04:10 购买,钻石会员,福建,来自京东Android客户端,快递小哥好给力，24小时收到货
h***6,2015-02-18 23:43 购买,金牌会员,北京,来自京东iPhone客户端,快递非常快，服务态度非常好
j***凯,2015-06-09 17:05 购买,企业会员,北京,,一切评价请看苹果广告里面都有
E***s,2015-06-28 09:46 购买,钻石会员,贵州,,一直用苹果家的手机 还是很不错的 由4s过渡 还不太习惯大小
学***哉,2015-07-02 11:35 购买,钻石会员,重庆,,比较一般照相不错音质好外观漂亮软件也不错分辨率高屏幕大支持国产机后盖很漂亮
c***3,2015-06-30 22:33 购买,钻石会员,北京,来自京东Android客户端,给老婆买的，希望用着喜欢
j***7,2015-06-25 16:03 购买,钻石会员,江苏,,买了送人 比较好。。
s***9,2015-06-19 22:49 购买,钻石会员,北京,来自京东iPhone客户端,女生用有点大，第一次接电话，差点把电话扔出去！总体来说很好！电池很禁用！
jd_3751855662,2015-06-27 08:46 购买,金牌会员,四川,,京东服务到位，很给力，
小***哒,2015-02-08 14:31 购买,金牌会员,广西,来自京东iPhone客户端,还好正品使用的还好
c***2,2015-06-28 09:48 购买,银牌会员,内蒙古,来自京东Android客户端,以这个价位来说 送的膜贴的太恶心了
巴***j,2015-06-20 09:49 购买,银牌会员,广西,来自京东Android客户端,速度没得说！质量没得说！苹果没得说！京东更没得说！20号下单，21号中午就拿到手机了，行货，使用七天后的感受就是信号满格的时候比较少。?
z***n,2015-06-19 00:00 购买,钻石会员,湖北,来自京东iPhone客户端,好歹也是7000多块钱的东西 包的比我买的9块9的钢化膜还差
j***a,2015-06-15 15:30 购买,金牌会员,上海,来自京东Android客户端,这破还有你女子心如刀割你一周
小***禾,2015-06-18 12:18 购买,金牌会员,重庆,来自京东iPhone客户端,还不错，京东白条让我下定决心买了六加。
chen204688,2015-06-25 21:33 购买,钻石会员,安徽,来自京东Android客户端,6P真心大 128G运行流畅 真品行货 三码对齐 不错
J***5,2015-06-25 18:49 购买,钻石会员,广东,来自京东iPhone客户端,都没收到就完成订单了
红乐娃,2015-06-24 19:21 购买,金牌会员,湖北,来自微信购物,很满意，很快，相信京东自营！
小***n,2015-06-19 12:04 购买,金牌会员,陕西,,hao 好不错
同***宋,2015-06-24 12:23 购买,钻石会员,上海,,速度很快，12点下单，晚上七点就到站点了，站点就在边上，走过去五六分钟就拿到了。。超棒
w***9,2015-06-24 15:08 购买,钻石会员,上海,来自京东Android客户端,信赖京东………………
该***啊,2015-06-13 03:31 购买,金牌会员,河北,,"前置摄像头120W像素你特么逗我！
7000多块钱买了个遗憾
我真特么遗憾
虽然本来就是苹果黑
经过这次更黑了~2333"
s***h,2015-06-18 20:27 购买,钻石会员,北京,来自京东Android客户端,不错，很喜欢。。。。。。
jd_暗淡无,2015-06-17 10:01 购买,钻石会员,北京,,京东一直很信赖！618活动买的。比较值。只是店庆期间到货速度是个问题。希望下次京东扩大货运规模!
s***克,2015-06-16 13:02 购买,金牌会员,广东,来自京东iPhone客户端,没有发票，差评，手机还可以
w***8,2015-03-12 22:58 购买,钻石会员,天津,,可惜第一部是个问题产品 还没给换。到维修点修不好才给换了。
d***2,2015-06-05 20:04 购买,钻石会员,上海,,帮朋友买的，很好很强大
踩***4,2015-04-02 17:32 购买,金牌会员,北京,,我四月初买的，五月死机重启两次，六月每五天重启一次，下载app过多就会死机重启，支付重启，刷个马云宝都能黑屏闪退，还总发烫，也是醉了。。。这么对比，我的上一个iphone5真是良心，用了两年多也就是电池不耐用，基本不死机。苹果客服建议我重装系统看看是不是系统原因，重装很麻烦，好多文件没备份，微信聊天记录也都会抹掉，等我整理备份好重装下看看吧。。。
孙***金,2015-06-18 09:10 购买,钻石会员,北京,,128G感觉不错，正品行货。价格确实不便宜。
郑***天,2015-06-21 17:32 购买,钻石会员,上海,来自京东Android客户端,不错，，，，，，，，，，
-***-,2015-04-01 22:43 购买,钻石会员,北京,,操，老子的心在流血啊啊啊啊啊
j***男,2015-06-17 20:41 购买,金牌会员,江苏,来自京东iPhone客户端,很好用，快递很快，就是包装看着很揪心，怎么说也是7000多的东西，在精美点就好了，刚开始看的时候赠手机壳和钢化膜，下单之后没有了，无所谓了，手机好就是了
m***h,2015-06-11 07:42 购买,钻石会员,上海,来自京东iPhone客户端,有点大有点大有点大有点大有点大
jd_fujw_2,2015-02-21 16:44 购买,金牌会员,天津,来自京东iPhone客户端,过年买的 非常满意 然后又买了一个
松***安,2015-06-20 10:51 购买,银牌会员,吉林,来自京东Android客户端,挺好的，用着也挺快，哈哈哈哈
树***6,2015-06-21 19:48 购买,银牌会员,江苏,来自京东iPhone客户端,速度绝对杠杠的，不错的机子
没***哭,2015-06-19 09:59 购买,钻石会员,北京,,手机不错，送货快，，，，
幻***冰,2015-03-13 00:54 购买,钻石会员,北京,来自京东iPhone客户端,不错，一直在用，挺好用的
j***2,2015-06-19 13:21 购买,金牌会员,浙江,来自京东Android客户端,外包装有点坑，就一纸箱。手机膜还在，京东正品无疑。
lansbury,2015-06-02 10:10 购买,金牌会员,广东,来自京东iPhone客户端,高大上的装?利器 手感如传闻般的好 下次继续在这里买~
烟***心,2015-01-23 12:13 购买,金牌会员,北京,来自京东iPhone客户端,真心好！质量有保证！赞
威***翰,2015-06-14 11:56 购买,钻石会员,北京,来自京东iPhone客户端,发货速度很快的！品质好保证
jd_888131188,2015-06-17 19:07 购买,金牌会员,辽宁,来自京东iPad客户端,发货速度快，充电有时不能满格，不知道是否正常？
吴***乐,2015-06-11 14:49 购买,钻石会员,上海,,性能还是不错的，挺好的啊
c***f,2015-06-18 17:40 购买,金牌会员,河北,来自京东iPhone客户端,外观完好，就是有时候会卡，比原先的6要反应慢。
马***0,2015-06-19 12:01 购买,金牌会员,上海,来自京东iPhone客户端,查了是正品。。。。特喜欢。。。
a***e,2015-06-18 07:12 购买,钻石会员,北京,,一直在京东上买这些，很不错，品质优于其他的网站，赞一个。
夺***到,2015-06-02 12:00 购买,钻石会员,上海,,不错 和直营店一样 ！！
p***n,2015-03-21 18:33 购买,钻石会员,北京,来自京东iPhone客户端,手机好，送货快。只是习惯一只手操作的不用买plus了
j***7,2015-01-27 21:51 购买,钻石会员,辽宁,来自京东iPhone客户端,931661360760
dahexiao689,2015-06-17 12:55 购买,金牌会员,北京,来自微信购物,杠杠滴！618那天的纪念
j***4,2015-02-02 12:33 购买,金牌会员,北京,来自京东Android客户端,非常好！！！！！！！！！
jdjingmidzm,2015-03-15 10:11 购买,钻石会员,北京,,使用起来。感觉不错，还是得品牌的东西。这么久才来评价，就是想好好感受一下，客观评价。
小松25,2015-06-19 15:36 购买,钻石会员,河北,来自京东Android客户端,好评 不错 不错
c***y,2015-06-18 03:17 购买,钻石会员,上海,来自京东Android客户端,苹果（Apple）iPhone 6 Plus (A1524) 128GB 银色 移动联通电信4G手机
琪***n,2015-06-10 17:30 购买,金牌会员,浙江,来自京东Android客户端,好呗，谁用谁知道，要是便宜就好了
j***c,2015-06-17 19:21 购买,银牌会员,山东,来自京东Android客户端,不错不错不错不错不错不错物流很好
j***0,2015-03-01 20:08 购买,钻石会员,江苏,来自京东iPhone客户端,还可以目前没有什么问题
大***好,2015-06-16 21:13 购买,钻石会员,江苏,来自京东iPhone客户端,速度快，价格还可以吧
赤***爪,2015-04-11 18:48 购买,金牌会员,北京,来自京东iPhone客户端,对京东的送货速度超满意
娜样年华1127,2015-06-12 09:55 购买,金牌会员,河北,,给老公买的，他说挺好的，而且比实体店便宜200呢
t***5,2015-04-03 07:23 购买,钻石会员,黑龙江,,屏幕大小好的百年企业必须要讲诚信，一时聪明毕竟难以长久。京东靠优惠券吸引新网购人群，而对钻石、金牌会员采取屏蔽手段。这样时间长了，人们都会发现问题，京东也难以长久！！！合适么？系统用的习惯么？配件质量如何？快写下你的评价，分享给大家吧！
辣帝道辣酱,2015-06-17 21:40 购买,金牌会员,青海,来自手机QQ购物,手机收到了，看外表还是相当给力的，是我喜欢的，待会去专卖店问问看再来评价，不过京东商城很给力，昨晚下的订单，早上起来就收到了！
g***7,2015-06-17 17:29 购买,钻石会员,北京,来自京东iPhone客户端,很好不错，很喜欢，方便，够用了！可惜没有抢上优惠券…
p***o,2015-05-26 10:59 购买,金牌会员,陕西,来自京东iPhone客户端,很好很好很好很好很好
香***人,2015-06-13 06:06 购买,钻石会员,北京,来自京东iPhone客户端,高大上的手机很有面子
s***r,2015-06-17 11:35 购买,钻石会员,北京,来自京东iPhone客户端,到货真快，及时送货叫你快到不敢相信。
j***a,2015-06-16 22:34 购买,钻石会员,山东,,送货速度快，服务好，满意。
Triou,2015-06-14 21:39 购买,钻石会员,广东,来自京东Android客户端,无说明书，保修卡，如果配送剪卡器就完美了。
碧***t,2015-06-16 20:29 购买,钻石会员,北京,,苹果（Apple）iPhone 6 Plus (A1524) 128GB 银色 移动联通电信4G手机 全网通用，速度快
t***w,2015-06-03 20:43 购买,金牌会员,北京,,帮别人买的，帮别人买的，
j***a,2015-06-09 15:50 购买,金牌会员,甘肃,,不错，就是有点大了哦。
b***g,2015-05-12 11:01 购买,钻石会员,北京,来自京东iPhone客户端,苹果手机很好用，一直在京东买。
K***o,2015-04-29 00:32 购买,银牌会员,江苏,来自京东iPhone客户端,机子是新机，拿去4s店检测过！
J***N,2015-06-04 07:32 购买,金牌会员,上海,,给老婆买的，据说很不错
j***k,2015-02-08 22:07 购买,金牌会员,福建,,屏幕大小合适么？系统用的习惯么？配件质量如何？快写下你的评价，分享给大家吧！
houjiaqi1989,2015-03-08 22:22 购买,金牌会员,北京,,有时候有破音～貌似很多人都遇到这毛病了~
j***s,2015-03-23 16:29 购买,钻石会员,北京,来自京东Android客户端,是我想要的，质量也还可以。使用安全。
c***9,2015-06-14 21:22 购买,钻石会员,北京,来自京东Android客户端,很快就收到，昨晚9点多下单，今早10点多到货，配送速度真是可以。
小***了,2015-06-12 10:29 购买,银牌会员,安徽,,不错
j***8,2015-04-25 21:30 购买,银牌会员,江苏,来自京东iPhone客户端,绝对正品，好用够爽！
jd_5ffd92a327834,2015-03-03 10:58 购买,金牌会员,陕西,来自微信购物,还可以，正品带发票
j***w,2015-05-28 14:43 购买,银牌会员,辽宁,来自京东iPhone客户端,不错的东东，很喜欢，以后还会光顾的
南***水,2015-03-18 13:09 购买,钻石会员,江苏,来自京东iPhone客户端,活动买的，超级划算，还会再来
j***q,2015-06-10 23:07 购买,金牌会员,陕西,来自京东Android客户端,喜欢老婆爱得不行，很满意
w***2,2015-06-07 22:56 购买,钻石会员,北京,,还不错，送人的。大品牌
5***古,2015-06-09 22:01 购买,钻石会员,山东,来自京东Android客户端,好，好，好，值得购买，非常好
裕***猫,2015-06-10 12:45 购买,钻石会员,北京,来自京东iPhone客户端,还行，就是配送有点慢，买来送人的，应该可以
徒***生,2015-06-10 17:14 购买,钻石会员,河南,来自京东Android客户端,没拆开！回家带给媳妇吧！不过京东的东西我放心！
s***0,2015-05-05 12:29 购买,金牌会员,海南,来自京东iPhone客户端,非常好用，发货快，服务好
鑫***贸,2015-06-06 09:46 购买,钻石会员,天津,,苹果手机很不错 非常完美的软件
过的开心,2015-05-13 19:45 购买,钻石会员,北京,,好用，屏幕分辨率高，显示清晰，运行流畅，拍照很清晰
鸭***叫,2015-02-23 22:52 购买,钻石会员,广东,来自京东iPhone客户端,实在的，比官网要便宜，还没激活应该是新的，这个要赞赞jd
f***n,2015-06-03 22:57 购买,钻石会员,江苏,来自京东iPhone客户端,很好 不错 很好 不错 很好 不错
坚***r,2015-04-23 08:39 购买,钻石会员,广东,来自京东iPhone客户端,好用不错好用不错好用不错
心雨我心飞扬,2015-04-07 12:50 购买,钻石会员,北京,来自京东iPad客户端,买手机，上京东，买的放心，用的舒心。
j***8,2015-03-20 20:16 购买,企业会员,四川,,好产品，实用！好产品，实用！好产品，实用！好产品，实用！
小***天,2015-04-29 13:48 购买,钻石会员,湖南,来自京东iPhone客户端,第7台iphone6在京东买了，以后还回来买！
大山1020,2015-06-03 12:20 购买,钻石会员,北京,来自京东iPad客户端,送货很快呀
k***n,2015-03-10 21:41 购买,钻石会员,福建,,屏幕好用，挺好的。音质不错，外观不错。大小合适么？系统用的习惯么？配件质量如何？快写下你的评价，分享给大家吧！
2***号,2015-03-24 14:22 购买,金牌会员,四川,来自京东iPhone客户端,好天啦啦啦啦啦撸啦乌克丽丽
j***s,2015-06-04 18:44 购买,钻石会员,北京,来自京东Android客户端,总体不错，物流不是太及时。
海纳百川080uhd,2015-06-05 21:29 购买,金牌会员,北京,来自京东iPhone客户端,手机很不错，也很好用！
m***4,2015-06-01 18:32 购买,企业会员,四川,来自京东Android客户端,是正品，一直在京东购货。
j***h,2015-06-04 22:39 购买,金牌会员,河南,来自京东iPhone客户端,很好，不错……………
h***4,2015-06-04 12:28 购买,钻石会员,北京,,送货很快，正品商品。。。。。
tinni,2015-06-01 21:21 购买,钻石会员,上海,来自京东Android客户端,"手机本身不评价。都懂得。
正品，包装完好。送货很快，晚上下单第二天中午前就送到了。上海外面还下着大暴雨，快递员态度很好！还主动提醒我是不是是打开外包盒检查一下。快递师傅辛苦了！"
w***l,2015-02-09 20:40 购买,钻石会员,北京,,给老妈买的，她挺喜欢这个，京东送货速度就是没的说，速度超级快
m***a,2015-05-31 04:33 购买,钻石会员,上海,来自京东iPhone客户端,没什么好说，还在研究新功能
7***华,2015-06-01 14:13 购买,金牌会员,湖北,,帮别人代购的，具体使用情况有待使用者反馈
C***0,2015-06-01 11:02 购买,钻石会员,北京,来自京东iPhone客户端,本来是去商场买的，结果都没货，还是京东靠谱，送货很快～
t***y,2015-03-05 01:00 购买,钻石会员,天津,来自京东iPhone客户端,京东买电子产品保证真品
l***n,2015-05-27 13:24 购买,钻石会员,北京,,在京东买了几次手机，总体还不错呵呵
就***整,2015-02-26 10:22 购买,钻石会员,山东,来自京东iPhone客户端,正常使用中，还不错。价格优势再大点就好了
8***m,2015-04-02 18:12 购买,钻石会员,四川,,不错的手机啊！！是正品啊！！第一次在网上买苹果手机啊！！哈不错
s***0,2015-03-05 16:58 购买,钻石会员,广东,来自京东iPhone客户端,用了几个月才评价，苹果品质值得拥有
b***1,2015-04-15 22:07 购买,金牌会员,贵州,来自京东Android客户端,挺不错的， 挺不错的， 挺不错的，
c***5,2015-05-31 08:44 购买,钻石会员,北京,来自京东iPhone客户端,不错的选择哦，挺好的选择哦。
格***x,2015-05-29 10:51 购买,钻石会员,北京,来自京东Android客户端,不错，物流很快，是正品
美***忆,2015-03-25 18:32 购买,钻石会员,北京,来自京东Android客户端,很好，没出过毛病，用的很放心
b***6,2015-05-31 22:29 购买,钻石会员,北京,来自京东Android客户端,还好，值得购买，信任
大***儿,2015-05-30 22:53 购买,钻石会员,北京,,"刚丢了手机，只能再买一个
京东价格比apple官网便宜，而且送货也很快！"
